Student Name,Course ID,Student ID,Enrollment Number,Year,Course Name,Duration (Years),Branch,Specialization,Total Fees (Per Annum),Yearly Fees,Exam Fees,Extra Fees,Hostel Accommodation,Occupancy,City,State,Country,Email,Phone,Payment Mode,12th Percentage,10th Percentage,Hostel Room Type,Annual Income,Date of Birth
Inaaya  Srinivasan,BTechCSE057,STU057,ENR057,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Artificial Intelligence and Machine Learning,169000,154000,15000,0,Yes,Single Occupancy,Hyderabad,Telangana,India,zsarna@example.net,9.18313E+11,RTGS,63,82,AC,439977,05/03/2003
Eshani Apte,BTechCSE058,STU058,ENR058,2018,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Analytics,169000,154000,15000,0,Yes,Single Occupancy,Bengaluru,Karnataka,India,gmani@example.net,9.18611E+11,DD,69,83,Non-AC,375699,28/12/2002
Vardaniya Raman,BTechCSE059,STU059,ENR059,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Analytics,169000,154000,15000,0,Yes,Double Occupancy,Bengaluru,Karnataka,India,hazel63@example.net,9.18123E+11,Cheque,84,80,AC,391720,10/03/2005
Kartik Som,BTechCSE060,STU060,ENR060,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Business Analytics and Optimization,169000,154000,15000,0,Yes,Single Occupancy,Mumbai,Maharashtra,India,deshmukhgatik@example.org,9.19407E+11,DD,87,80,AC,488707,29/07/2004
Devansh Rajagopalan,BTechCSE061,STU061,ENR061,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Artificial Intelligence and Machine Learning,169000,154000,15000,0,Yes,Triple Occupancy,Delhi,Delhi,India,mallickaaryahi@example.net,9.19184E+11,DD,79,87,Non-AC,576860,28/12/2000
Yuvaan Agate,BTechCSE062,STU062,ENR062,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Internet of Things and Cyber Security Including Blockchain Technology,169000,154000,15000,0,Yes,Single Occupancy,Delhi,Delhi,India,sarinmishti@example.org,9.17309E+11,Cheque,63,70,AC,333904,07/09/2004
Ehsaan Contractor,BTechCSE063,STU063,ENR063,2020,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Internet of Things and Cyber Security Including Blockchain Technology,169000,154000,15000,0,Yes,Single Occupancy,Kolkata,West Bengal,India,walionkar@example.net,9.17156E+11,UPI,83,78,Non-AC,510031,17/04/2006
Charvi Wadhwa,BTechCSE064,STU064,ENR064,2018,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Analytics,169000,154000,15000,0,Yes,Double Occupancy,Mumbai,Maharashtra,India,mchoudhury@example.net,9.18188E+11,Cheque,70,69,AC,450507,31/05/2006
Hiran Jain,BTechCSE065,STU065,ENR065,2020,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Gaming Technology,169000,154000,15000,0,Yes,Single Occupancy,Kolkata,West Bengal,India,fmand@example.org,9.1703E+11,DD,82,74,Non-AC,175022,26/05/2003
Nayantara Karpe,BTechCSE066,STU066,ENR066,2020,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Gaming Technology,169000,154000,15000,0,Yes,Triple Occupancy,Bengaluru,Karnataka,India,suraabram@example.com,9.18905E+11,Cheque,65,69,Non-AC,636429,12/06/2001
Drishya Gole,BTechCSE067,STU067,ENR067,2022,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Gaming Technology,169000,154000,15000,0,Yes,Triple Occupancy,Mumbai,Maharashtra,India,aarav93@example.net,9.19503E+11,Cash,87,86,Non-AC,110771,05/10/2001
Jiya Dayal,BTechCSE068,STU068,ENR068,2019,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cyber Security and Digital Forensic,169000,154000,15000,0,Yes,Single Occupancy,Hyderabad,Telangana,India,surshanaya@example.com,9.17953E+11,RTGS,63,75,AC,223689,07/10/2005
Divyansh Deol,BTechCSE069,STU069,ENR069,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Gaming Technology,169000,154000,15000,0,Yes,Triple Occupancy,Delhi,Delhi,India,nakul52@example.net,9.17284E+11,Cash,69,60,AC,777259,25/08/2000
Ivana Koshy,BTechCSE070,STU070,ENR070,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Business Analytics and Optimization,169000,154000,15000,0,Yes,Triple Occupancy,Delhi,Delhi,India,dhanuk38@example.org,9.19039E+11,Cash,63,80,Non-AC,748627,09/09/2005
Prerak Khosla,BTechCSE071,STU071,ENR071,2020,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Geographical Information Systems and Remote Sensing,169000,154000,15000,0,Yes,Triple Occupancy,Pune,Maharashtra,India,singhhansh@example.com,9.18865E+11,DD,60,88,AC,599382,05/11/2001
Mannat Dugar,BTechCSE072,STU072,ENR072,2019,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Full Stack Development,169000,154000,15000,0,Yes,Triple Occupancy,Chennai,Tamil Nadu,India,aarna52@example.org,9.17128E+11,DD,67,65,Non-AC,197747,04/04/2002
Nirvaan Arora,BTechCSE073,STU073,ENR073,2021,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Internet of Things and Cyber Security Including Blockchain Technology,169000,154000,15000,0,Yes,Double Occupancy,Delhi,Delhi,India,purabmadan@example.com,9.17935E+11,RTGS,80,69,Non-AC,449234,28/04/2004
Eva Reddy,BTechCSE074,STU074,ENR074,2022,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Gaming Technology,169000,154000,15000,0,Yes,Double Occupancy,Pune,Maharashtra,India,aarna63@example.com,9.19267E+11,RTGS,82,67,AC,242268,01/02/2003
Priyansh Srivastava,BTechCSE075,STU075,ENR075,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cloud Computing and Virtualization,169000,154000,15000,0,Yes,Single Occupancy,Lucknow,Uttar Pradesh,India,mchatterjee@example.com,9.18693E+11,DD,60,70,Non-AC,675330,17/09/2000
Piya Jani,BTechCSE076,STU076,ENR076,2022,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Full Stack Development,169000,154000,15000,0,Yes,Single Occupancy,Ahmedabad,Gujarat,India,abaria@example.net,9.17268E+11,Cash,64,86,AC,303135,11/08/2004
Saanvi Ghose,BTechCSE077,STU077,ENR077,2019,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Gaming Technology,169000,154000,15000,0,Yes,Triple Occupancy,Jaipur,Rajasthan,India,hanscharvi@example.com,9.18026E+11,Cash,74,71,AC,124134,11/07/2001
Vritika Mammen,BTechCSE078,STU078,ENR078,2020,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Science,169000,154000,15000,0,Yes,Triple Occupancy,Ahmedabad,Gujarat,India,ishaansule@example.org,9.18272E+11,RTGS,69,89,Non-AC,713021,01/02/2001
Veer Arora,BTechCSE079,STU079,ENR079,2022,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Gaming Technology,169000,154000,15000,0,Yes,Triple Occupancy,Delhi,Delhi,India,kannanneysa@example.net,9.19251E+11,UPI,88,63,AC,684673,21/05/2003
Samarth Kaul,BTechCSE080,STU080,ENR080,2021,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cyber Security and Digital Forensic,169000,154000,15000,0,Yes,Double Occupancy,Mumbai,Maharashtra,India,rheasrivastava@example.net,9.18934E+11,Cheque,63,85,AC,126137,17/05/2006
Eshani Basak,BTechCSE081,STU081,ENR081,2020,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Gaming Technology,169000,154000,15000,0,Yes,Single Occupancy,Hyderabad,Telangana,India,nayantara21@example.org,9.19079E+11,UPI,71,89,Non-AC,728595,03/08/2004
Aarush Sama,BTechCSE082,STU082,ENR082,2022,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Gaming Technology,169000,154000,15000,0,Yes,Single Occupancy,Lucknow,Uttar Pradesh,India,vkrishnamurthy@example.net,9.19891E+11,Cheque,87,66,AC,405826,03/08/2000
Samarth Banik,BTechCSE083,STU083,ENR083,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Gaming Technology,169000,154000,15000,0,Yes,Double Occupancy,Kolkata,West Bengal,India,nakul49@example.org,9.19449E+11,RTGS,70,92,Non-AC,404888,03/03/2001
Gokul Vasa,BTechCSE084,STU084,ENR084,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cyber Security and Digital Forensic,169000,154000,15000,0,Yes,Double Occupancy,Kolkata,West Bengal,India,advik97@example.org,9.19647E+11,Cheque,66,72,Non-AC,559742,20/06/2005
Hiran Dass,BTechCSE085,STU085,ENR085,2021,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Science,169000,154000,15000,0,Yes,Single Occupancy,Mumbai,Maharashtra,India,aradhyagara@example.org,9.18679E+11,Cash,72,74,Non-AC,332435,07/10/2005
Sahil Sodhi,BTechCSE086,STU086,ENR086,2021,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cloud Computing and Virtualization,169000,154000,15000,0,Yes,Double Occupancy,Ahmedabad,Gujarat,India,pchhabra@example.org,9.1955E+11,UPI,71,69,Non-AC,652009,01/06/2003
Anay Singhal,BTechCSE087,STU087,ENR087,2018,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cyber Security and Digital Forensic,169000,154000,15000,0,Yes,Triple Occupancy,Delhi,Delhi,India,thakerishita@example.com,9.1813E+11,Cheque,84,74,Non-AC,510472,05/06/2006
Ishaan Dugar,BTechCSE088,STU088,ENR088,2018,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Gaming Technology,169000,154000,15000,0,Yes,Triple Occupancy,Ahmedabad,Gujarat,India,srinivasandivij@example.net,9.17931E+11,RTGS,86,76,AC,592546,04/08/2004
Romil Acharya,BTechCSE089,STU089,ENR089,2020,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Internet of Things and Cyber Security Including Blockchain Technology,169000,154000,15000,0,Yes,Triple Occupancy,Pune,Maharashtra,India,suhana12@example.com,9.1906E+11,UPI,87,88,Non-AC,675500,20/08/2001
Aniruddh Sura,BTechCSE090,STU090,ENR090,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Science,169000,154000,15000,0,Yes,Triple Occupancy,Jaipur,Rajasthan,India,anika07@example.com,9.18943E+11,Cash,76,77,AC,437476,07/08/2000
